Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(Order Time),diff_order_delivery,Hour(Delivery Time),Price (INR),Order_Amount,Day_of_order,Day_of_delivery,Revenue
5,C078,58,2,11-02-2023,19:44:48,18-02-2023,11:08:52,Rajkot,Valentine's Day,February,19,7,11,1492,2984,Saturday,Saturday,2984
56,C095,58,5,08-02-2023,12:11:48,13-02-2023,18:51:59,Danapur,Valentine's Day,February,12,5,18,1492,7460,Wednesday,Monday,7460
37,C096,19,5,10-02-2023,11:01:04,15-02-2023,21:19:36,Katni,Valentine's Day,February,11,5,21,1234,6170,Friday,Wednesday,6170
20,C011,52,1,11-02-2023,14:36:57,14-02-2023,01:34:16,Madurai,Valentine's Day,February,14,3,1,236,236,Saturday,Tuesday,236
43,C046,49,3,12-02-2023,22:31:16,16-02-2023,02:47:47,Sambalpur,Valentine's Day,February,22,4,2,903,2709,Sunday,Thursday,2709
78,C062,11,2,04-02-2023,13:00:09,08-02-2023,20:31:15,Pallavaram,Valentine's Day,February,13,4,20,1096,2192,Saturday,Wednesday,2192
87,C055,2,5,04-02-2023,13:17:21,11-02-2023,23:06:36,Malda,Valentine's Day,February,13,7,23,441,2205,Saturday,Saturday,2205
89,C060,3,5,12-02-2023,22:56:52,13-02-2023,14:41:41,Aurangabad,Valentine's Day,February,22,1,14,1534,7670,Sunday,Monday,7670
121,C048,33,3,05-02-2023,02:18:55,09-02-2023,07:29:31,Guntur,Valentine's Day,February,2,4,7,314,942,Sunday,Thursday,942
126,C040,19,5,04-02-2023,02:28:24,13-02-2023,13:16:38,Dharmavaram,Valentine's Day,February,2,9,13,1234,6170,Saturday,Monday,6170
131,C078,3,5,04-02-2023,20:30:50,11-02-2023,08:29:03,Satara,Valentine's Day,February,20,7,8,1534,7670,Saturday,Saturday,7670
132,C045,49,4,04-02-2023,23:23:41,13-02-2023,19:55:48,Thoothukudi,Valentine's Day,February,23,9,19,903,3612,Saturday,Monday,3612
146,C030,52,5,13-02-2023,18:23:55,16-02-2023,04:07:37,Vijayawada,Valentine's Day,February,18,3,4,236,1180,Monday,Thursday,1180
161,C054,58,3,13-02-2023,03:08:06,14-02-2023,23:12:01,Karaikudi,Valentine's Day,February,3,1,23,1492,4476,Monday,Tuesday,4476
169,C051,3,2,06-02-2023,10:28:57,16-02-2023,01:26:19,Shivpuri,Valentine's Day,February,10,10,1,1534,3068,Monday,Thursday,3068
173,C072,58,2,07-02-2023,23:15:37,13-02-2023,01:51:53,Deoghar,Valentine's Day,February,23,6,1,1492,2984,Tuesday,Monday,2984
182,C070,2,1,08-02-2023,23:21:30,15-02-2023,06:07:33,Chennai,Valentine's Day,February,23,7,6,441,441,Wednesday,Wednesday,441
184,C027,52,3,11-02-2023,21:34:53,20-02-2023,05:00:29,Dharmavaram,Valentine's Day,February,21,9,5,236,708,Saturday,Monday,708
187,C008,49,5,11-02-2023,21:10:41,16-02-2023,09:34:09,Anantapur,Valentine's Day,February,21,5,9,903,4515,Saturday,Thursday,4515
194,C030,58,4,08-02-2023,11:41:29,09-02-2023,04:54:30,Pondicherry,Valentine's Day,February,11,1,4,1492,5968,Wednesday,Thursday,5968
206,C099,68,3,11-02-2023,22:12:16,13-02-2023,12:42:01,Ulhasnagar,Valentine's Day,February,22,2,12,597,1791,Saturday,Monday,1791
223,C051,49,2,05-02-2023,08:44:25,13-02-2023,10:17:59,Bhalswa Jahangir Pur,Valentine's Day,February,8,8,10,903,1806,Sunday,Monday,1806
225,C093,52,5,05-02-2023,12:12:26,06-02-2023,18:01:06,Arrah,Valentine's Day,February,12,1,18,236,1180,Sunday,Monday,1180
229,C079,49,3,11-02-2023,20:55:38,20-02-2023,09:32:50,Junagadh,Valentine's Day,February,20,9,9,903,2709,Saturday,Monday,2709
243,C043,3,1,05-02-2023,20:50:37,10-02-2023,12:30:54,Siwan,Valentine's Day,February,20,5,12,1534,1534,Sunday,Friday,1534
248,C044,19,5,08-02-2023,08:43:41,10-02-2023,04:15:01,Alwar,Valentine's Day,February,8,2,4,1234,6170,Wednesday,Friday,6170
253,C010,68,2,12-02-2023,14:24:46,14-02-2023,05:39:27,Bangalore,Valentine's Day,February,14,2,5,597,1194,Sunday,Tuesday,1194
262,C038,49,3,07-02-2023,08:05:16,11-02-2023,01:06:57,Tirunelveli,Valentine's Day,February,8,4,1,903,2709,Tuesday,Saturday,2709
264,C010,52,3,09-02-2023,05:35:19,18-02-2023,15:43:46,Asansol,Valentine's Day,February,5,9,15,236,708,Thursday,Saturday,708
265,C060,58,1,10-02-2023,21:17:18,18-02-2023,06:28:33,Gudivada,Valentine's Day,February,21,8,6,1492,1492,Friday,Saturday,1492
280,C003,19,3,07-02-2023,17:44:47,12-02-2023,16:31:05,Mangalore,Valentine's Day,February,17,5,16,1234,3702,Tuesday,Sunday,3702
291,C072,49,2,10-02-2023,00:12:40,11-02-2023,22:52:51,Nadiad,Valentine's Day,February,0,1,22,903,1806,Friday,Saturday,1806
298,C057,3,1,11-02-2023,23:06:29,12-02-2023,02:17:43,Bahraich,Valentine's Day,February,23,1,2,1534,1534,Saturday,Sunday,1534
306,C085,49,4,04-02-2023,11:35:51,12-02-2023,06:38:00,Bellary,Valentine's Day,February,11,8,6,903,3612,Saturday,Sunday,3612
307,C042,3,1,04-02-2023,21:37:54,08-02-2023,11:28:10,Durgapur,Valentine's Day,February,21,4,11,1534,1534,Saturday,Wednesday,1534
316,C048,2,5,11-02-2023,21:35:05,15-02-2023,07:21:50,Muzaffarnagar,Valentine's Day,February,21,4,7,441,2205,Saturday,Wednesday,2205
350,C020,19,3,13-02-2023,12:22:57,22-02-2023,16:26:10,Kolkata,Valentine's Day,February,12,9,16,1234,3702,Monday,Wednesday,3702
366,C033,3,3,08-02-2023,23:15:47,16-02-2023,10:51:38,Kolkata,Valentine's Day,February,23,8,10,1534,4602,Wednesday,Thursday,4602
399,C008,68,1,08-02-2023,06:21:47,15-02-2023,07:08:14,Bareilly,Valentine's Day,February,6,7,7,597,597,Wednesday,Wednesday,597
405,C033,49,1,10-02-2023,23:05:14,18-02-2023,14:47:38,Guwahati,Valentine's Day,February,23,8,14,903,903,Friday,Saturday,903
416,C006,58,5,12-02-2023,16:41:02,17-02-2023,09:37:01,Saharanpur,Valentine's Day,February,16,5,9,1492,7460,Sunday,Friday,7460
423,C067,19,1,11-02-2023,16:46:58,17-02-2023,00:10:05,Alappuzha,Valentine's Day,February,16,6,0,1234,1234,Saturday,Friday,1234
426,C073,2,2,13-02-2023,22:59:54,17-02-2023,13:51:00,Kharagpur,Valentine's Day,February,22,4,13,441,882,Monday,Friday,882
442,C023,3,3,08-02-2023,18:03:20,15-02-2023,08:05:39,Khandwa,Valentine's Day,February,18,7,8,1534,4602,Wednesday,Wednesday,4602
443,C046,49,3,04-02-2023,22:22:19,13-02-2023,02:16:00,Secunderabad,Valentine's Day,February,22,9,2,903,2709,Saturday,Monday,2709
446,C079,33,5,12-02-2023,02:54:04,15-02-2023,11:03:28,Bokaro,Valentine's Day,February,2,3,11,314,1570,Sunday,Wednesday,1570
449,C045,49,4,13-02-2023,03:18:26,16-02-2023,10:09:41,Ichalkaranji,Valentine's Day,February,3,3,10,903,3612,Monday,Thursday,3612
451,C079,33,5,07-02-2023,00:16:52,13-02-2023,21:10:57,Ujjain,Valentine's Day,February,0,6,21,314,1570,Tuesday,Monday,1570
454,C088,3,2,07-02-2023,23:26:49,09-02-2023,01:21:56,Suryapet,Valentine's Day,February,23,2,1,1534,3068,Tuesday,Thursday,3068
456,C071,33,2,12-02-2023,22:51:39,15-02-2023,22:14:06,Nangloi Jat,Valentine's Day,February,22,3,22,314,628,Sunday,Wednesday,628
477,C099,33,4,12-02-2023,17:18:09,14-02-2023,03:11:52,Gangtok,Valentine's Day,February,17,2,3,314,1256,Sunday,Tuesday,1256
478,C003,11,5,08-02-2023,01:11:21,09-02-2023,09:50:19,Ambarnath,Valentine's Day,February,1,1,9,1096,5480,Wednesday,Thursday,5480
479,C071,11,1,07-02-2023,17:48:21,11-02-2023,10:48:13,Ghaziabad,Valentine's Day,February,17,4,10,1096,1096,Tuesday,Saturday,1096
490,C075,2,1,12-02-2023,12:28:03,14-02-2023,12:27:19,Eluru,Valentine's Day,February,12,2,12,441,441,Sunday,Tuesday,441
492,C047,33,2,04-02-2023,13:54:25,13-02-2023,12:04:33,Salem,Valentine's Day,February,13,9,12,314,628,Saturday,Monday,628
493,C035,11,1,05-02-2023,22:11:24,06-02-2023,15:43:11,Gopalpur,Valentine's Day,February,22,1,15,1096,1096,Sunday,Monday,1096
496,C021,11,4,09-02-2023,14:31:57,16-02-2023,13:05:41,Sambhal,Valentine's Day,February,14,7,13,1096,4384,Thursday,Thursday,4384
498,C100,19,4,13-02-2023,21:34:44,20-02-2023,21:14:24,Bhusawal,Valentine's Day,February,21,7,21,1234,4936,Monday,Monday,4936
519,C014,52,4,07-02-2023,23:10:38,15-02-2023,06:40:20,Hindupur,Valentine's Day,February,23,8,6,236,944,Tuesday,Wednesday,944
